Time	Combined adopter fraction[eu]	Adopter Fraction[eu,p1]	Adopter Fraction[eu,p2]	Adopter Fraction[sp,p1]	Adopter Fraction[sp,p2]
0	0	0	0	0	0
0.0625	0.0003125	0.0003125	0	0.0003125	0.0003125
0.125	0.000599052	0.000599028	2.47632e-008	0.000599003	0.000599003
0.1875	0.00117435	0.000861944	0.00031241	0.00117414	0.00117414
0.25	0.00170269	0.00110359	0.000599103	0.00170177	0.00170177
0.3125	0.0021886	0.00132608	0.000862524	0.00218619	0.00218619
0.375	0.00263631	0.00153141	0.0011049	0.00263136	0.00263136
0.4375	0.00304982	0.00172151	0.00132831	0.00304097	0.00304097
0.5	0.00343299	0.00189825	0.00153474	0.00341846	0.00341846
0.5625	0.00378951	0.00206341	0.0017261	0.00376708	0.00376708
0.625	0.00412289	0.00221869	0.00190421	0.00408984	0.00408984
0.6875	0.00443646	0.00236567	0.00207079	0.00438955	0.00438955
0.75	0.00473332	0.00250586	0.00222746	0.00466882	0.00466882
0.8125	0.00501636	0.00264062	0.00237573	0.00493003	0.00493003
0.875	0.00528822	0.0027712	0.00251702	0.00517538	0.00517538
0.9375	0.00555131	0.00289872	0.00265259	0.00540688	0.00540688
1	0.0058078	0.00302419	0.00278361	0.00562636	0.00562636
1.0625	0.00605966	0.00314853	0.00291113	0.00583549	0.00583549
1.125	0.00630864	0.00327253	0.00303611	0.00603576	0.00603576
1.1875	0.00655629	0.00339693	0.00315937	0.00622854	0.00622854
1.25	0.00680404	0.00352235	0.00328168	0.00641508	0.00641508
1.3125	0.00705311	0.00364939	0.00340372	0.00659651	0.00659651
1.375	0.00730465	0.00377855	0.0035261	0.00677384	0.00677384
1.4375	0.00755967	0.00391032	0.00364935	0.00694801	0.00694801
1.5	0.0078191	0.00404513	0.00377397	0.00711987	0.00711987
1.5625	0.00808379	0.00418339	0.0039004	0.00729021	0.00729021
1.625	0.00835455	0.00432548	0.00402907	0.00745976	0.00745976
1.6875	0.00863213	0.00447177	0.00416036	0.00762918	0.00762918
1.75	0.00891723	0.00462262	0.00429461	0.0077991	0.0077991
1.8125	0.00921057	0.00477838	0.00443219	0.00797012	0.00797012
1.875	0.00951282	0.00493941	0.00457341	0.00814279	0.00814279
1.9375	0.00982466	0.00510606	0.0047186	0.00831764	0.00831764
2	0.0101468	0.0052787	0.00486809	0.00849521	0.00849521
2.0625	0.0104799	0.0054577	0.00502218	0.00867599	0.00867599
2.125	0.0108247	0.00564346	0.00518122	0.00886047	0.00886047
2.1875	0.0111819	0.0058364	0.00534552	0.00904915	0.00904915
2.25	0.0115524	0.00603695	0.00551544	0.00924253	0.00924253
2.3125	0.0119369	0.00624558	0.00569134	0.0094411	0.0094411
2.375	0.0123364	0.00646278	0.00587359	0.00964538	0.00964538
2.4375	0.0127517	0.00668907	0.00606258	0.00985589	0.00985589
2.5	0.0131838	0.00692505	0.00625875	0.0100732	0.0100732
2.5625	0.0136338	0.0071713	0.00646254	0.0102978	0.0102978
2.625	0.0141029	0.0074285	0.00667444	0.0105304	0.0105304
2.6875	0.0145923	0.00769736	0.00689496	0.0107716	0.0107716
2.75	0.0151033	0.00797867	0.00712465	0.0110221	0.0110221
2.8125	0.0156374	0.00827325	0.00736412	0.0112826	0.0112826
2.875	0.0161961	0.00858204	0.00761402	0.0115539	0.0115539
2.9375	0.0167811	0.00890603	0.00787506	0.0118368	0.0118368
3	0.0173943	0.00924631	0.00814799	0.0121323	0.0121323
3.0625	0.0174236	0.00929701	0.00812659	0.0118239	0.0118239
3.125	0.0174575	0.00934939	0.00810807	0.0115328	0.0115328
3.1875	0.0174957	0.00940343	0.00809227	0.0112581	0.0112581
3.25	0.0175382	0.00945913	0.00807907	0.0109988	0.0109988
3.3125	0.0175849	0.00951651	0.00806834	0.0107542	0.0107542
